,lines
36,"But when next morning came there was a steady rain falling, so thick that when you looked out of the window you could see neither the mountains nor the woods nor even the stream in the garden."
37,Of course it would be raining! said Edmund.
38,"They had just finished their breakfast with the Professor and were upstairs in the room he had set apart for them - a long, low room with two windows looking out in one direction and two in another."
39,"Do stop grumbling, Ed, said Susan."
40,Ten to one it'll clear up in an hour or so.
41,And in the meantime we're pretty well off.
42,There's a wireless and lots of books.
43,Not for mesaid Peter; I'm going to explore in  the house.
44,Everyone agreed to this and that was how the adventures began.
45,"It was the sort of house that you never seem to come to the end of, and it was full of unexpected places."
46,"The first few doors they tried led only into spare bedrooms, as everyone had expected that they would; but soon they came to a very long room full of pictures and there they found a suit of armour; and after that was a room all hung with green, with a harp in one corner; and then came three steps down and five steps up, and then a kind of little upstairs hall and a door that led out on to a balcony, and then a whole series of rooms that led into each other and were lined with books - most of them very old books and some bigger than a Bible in a church."
47,And shortly after that they looked into a room that was quite empty except for one big wardrobe; the sort that has a looking-glass in the door.
48,There was nothing else in the room at all except a dead blue-bottle on the window-sill.
49,"Nothing there! said Peter, and they all trooped out again - all except Lucy."
50,"She stayed behind because she thought it would be worth while trying the door of the wardrobe, even though she felt almost sure that it would be locked."
51,"To her surprise it opened quite easily, and two moth-balls dropped out."
52,"Looking into the inside, she saw several coats hanging up - mostly long fur coats."
53,There was nothing Lucy liked so much as the smell and feel of fur.
54,"She immediately stepped into the wardrobe and got in among the coats and rubbed her face against them, leaving the door open, of course, because she knew that it is very foolish to shut oneself into any wardrobe."
55,Soon she went further in and found that there was a second row of coats hanging up behind the first one.
56,It was almost quite dark in there and she kept her arms stretched out in front of her so as not to bump her face into the back of the wardrobe.
57,She took a step further in - then two or three steps always expecting to feel woodwork against the tips of her fingers.
58,But she could not feel it.
59,"This must be a simply enormous wardrobe! thought Lucy, going still further in and pushing the soft folds of the coats aside to make room for her."
60,Then she noticed that there was something crunching under her feet.
61,"I wonder is that more mothballs? she thought, stooping down to feel it with her hand."
62,"But instead of feeling the hard, smooth wood of the floor of the wardrobe, she felt something soft and powdery and extremely cold."
63,"This is very queer, she said, and went on a step or two further."
64,Next moment she found that what was rubbing against her face and hands was no longer soft fur but something hard and rough and even prickly.
65,"Why, it is just like branches of trees! exclaimed Lucy."
66,"And then she saw that there was a light ahead of her; not a few inches away where the back of the wardrobe ought to have been, but a long way off."
67,Something cold and soft was falling on her.
68,A moment later she found that she was standing in the middle of a wood at night-time with snow under her feet and snowflakes falling through the air.
69,"Lucy felt a little frightened, but she felt very inquisitive and excited as well."
70,"She looked back over her shoulder and there, between the dark tree trunks; she could still see the open doorway of the wardrobe and even catch a glimpse of the empty room from which she had set out."
71,"(She had, of course, left the door open, for she knew that it is a very silly thing to shut oneself into a wardrobe."
72,) It seemed to be still daylight there.
73,"I can always get back if anything goes wrong, thought Lucy."
74,"She began to walk forward, crunch-crunch over the snow and through the wood towards the other light."
75,In about ten minutes she reached it and found it was a lamp-post.
76,"As she stood looking at it, wondering why there was a lamp-post in the middle of a wood and wondering what to do next, she heard a pitter patter of feet coming towards her."
77,And soon after that a very strange person stepped out from among the trees into the light of the lamp-post.
78,"He was only a little taller than Lucy herself and he carried over his head an umbrella, white with snow."
79,"From the waist upwards he was like a man, but his legs were shaped like a goat's (the hair on them was glossy black) and instead of feet he had goat's hoofs."
80,"He also had a tail, but Lucy did not notice this at first because it was neatly caught up over the arm that held the umbrella so as to keep it from trailing in the snow."
81,He had a red woollen muffler round his neck and his skin was rather reddish too.
82,"He had a strange, but pleasant little face, with a short pointed beard and curly hair, and out of the hair there stuck two horns, one on each side of his forehead."
83,"One of his hands, as I have said, held the umbrella: in the other arm he carried several brown-paper parcels."
84,What with the parcels and the snow it looked just as if he had been doing his Christmas shopping.
85,He was a Faun.
86,And when he saw Lucy he gave such a start of surprise that he dropped all his parcels.
87,Goodness gracious me! exclaimed the Faun.
88," CHAPTER TWO  WHAT LUCY FOUND THERE  GOOD EVENING, said Lucy."
89,But the Faun was so busy picking up its parcels that at first it did not reply.
90,When it had finished it made her a little bow.
91,"Good evening, good evening, said the Faun."
92,"Excuse me - I don't want to be inquisitive - but should I be right in thinking that you are a Daughter of Eve?  My name's Lucy, said she, not quite understanding him."
93,But you are - forgive me - you are what they call a girl? said the Faun.
94,"Of course I'm a girl, said Lucy."
95,"You are in fact Human?  Of course I'm human, said Lucy, still a little puzzled."
96,"To be sure, to be sure, said the Faun."
97,How stupid of me! But I've never seen a Son of Adam or a Daughter of Eve before.
98,I am delighted.
99,That is to say - and then it stopped as if it had been going to say something it had not intended but had remembered in time.
100,"Delighted, delighted, it went on."
101,Allow me to introduce myself.
102,My name is Tumnus.
103,"I am very pleased to meet you, Mr Tumnus, said Lucy."
104,"And may I ask, O Lucy Daughter of Eve, said Mr Tumnus, how you have come into Narnia?  Narnia? What's that? said Lucy."
105,"This is the land of Narnia, said the Faun, where we are now; all that lies between the lamp-post and the great castle of Cair Paravel on the eastern sea."
106,"And you - you have come from the wild woods of the west?  I - I got in through the wardrobe in the spare room, said Lucy."
107,"Ah! said Mr Tumnus in a rather melancholy voice, if only I had worked harder at geography when I was a little Faun, I should no doubt know all about those strange countries."
108,It is too late now.
109,"But they aren't countries at all, said Lucy, almost laughing."
110,It's only just back there - at least - I'm not sure.
111,It is summer there.
112,"Meanwhile, said Mr Tumnus, it is winter in Narnia, and has been for ever so long, and we shall both catch cold if we stand here talking in the snow."
113,"Daughter of Eve from the far land of Spare Oom where eternal summer reigns around the bright city of War Drobe, how would it be if you came and had tea with me?  Thank you very much, Mr Tumnus, said Lucy."
114,But I was wondering whether I ought to be getting back.
115,"It's only just round the corner, said the Faun, and there'll be a roaring fire - and toast - and sardines - and cake."
116,"Well, it's very kind of you, said Lucy."
117,But I shan't be able to stay long.
118,"If you will take my arm, Daughter of Eve, said Mr Tumnus, I shall be able to hold the umbrella over both of us."
119,That's the way.
120,Now - off we go.
121,And so Lucy found herself walking through the wood arm in arm with this strange creature as if they had known one another all their lives.
122,They had not gone far before they came to a place where the ground became rough and there were rocks all about and little hills up and little hills down.
123,"At the bottom of one small valley Mr Tumnus turned suddenly aside as if he were going to walk straight into an unusually large rock, but at the last moment Lucy found he was leading her into the entrance of a cave."
124,As soon as they were inside she found herself blinking in the light of a wood fire.
125,"Then Mr Tumnus stooped and took a flaming piece of wood out of the fire with a neat little pair of tongs, and lit a lamp."
126,"Now we shan't be long, he said, and immediately put a kettle on."
127,Lucy thought she had never been in a nicer place.
128,"It was a little, dry, clean cave of reddish stone with a carpet on the floor and two little chairs (one for me and one for a friend, said Mr Tumnus) and a table and a dresser and a mantelpiece over the fire and above that a picture of an old Faun with a grey beard."
129,"In one corner there was a door which Lucy thought must lead to Mr Tumnus's bedroom, and on one wall was a shelf full of books."
130,Lucy looked at these while he was setting out the tea things.
131,"They had titles like The Life and Letters of Silenus or Nymphs and Their Ways or Men, Monks and Gamekeepers; a Study in Popular Legend or Is Man a Myth?  Now, Daughter of Eve! said the Faun."
132,And really it was a wonderful tea.
133,"There was a nice brown egg, lightly boiled, for each of them, and then sardines on toast, and then buttered toast, and then toast with honey, and then a sugar-topped cake."
134,And when Lucy was tired of eating the Faun began to talk.
135,He had wonderful tales to tell of life in the forest.
136,"He told about the midnight dances and how the Nymphs who lived in the wells and the Dryads who lived in the trees came out to dance with the Fauns; about long hunting parties after the milk-white stag who could give you wishes if you caught him; about feasting and treasure-seeking with the wild Red Dwarfs in deep mines and caverns far beneath the forest floor; and then about summer when the woods were green and old Silenus on his fat donkey would come to visit them, and sometimes Bacchus himself, and then the streams would run with wine instead of water and the whole forest would give itself up to jollification for weeks on end."
137,"Not that it isn't always winter now, he added gloomily."
138,Then to cheer himself up he took out from its case on the dresser a strange little flute that looked as if it were made of straw and began to play.
139,And the tune he played made Lucy want to cry and laugh and dance and go to sleep all at the same time.
140,"It must have been hours later when she shook herself and said:  Oh, Mr Tumnus - I'm so sorry to stop you, and I do love that tune - but really, I must go home."
141,I only meant to stay for a few minutes.
142,"It's no good now, you know, said the Faun, laying down its flute and shaking its head at her very sorrowfully."
143,"No good? said Lucy, jumping up and feeling rather frightened."
144,What do you mean? I've got to go home at once.
145,The others will be wondering what has happened to me.
146,"But a moment later she asked, Mr Tumnus! Whatever is the matter? for the Faun's brown eyes had filled with tears and then the tears began trickling down its cheeks, and soon they were running off the end of its nose; and at last it covered its face with its hands and began to howl."
147,Mr Tumnus! Mr Tumnus! said Lucy in great distress.
148,"Don't! Don't! What is the matter? Aren' you well? Dear Mr Tumnus, do tell me what is wrong."
149,But the Faun continued sobbing as if its heart would break.
150,"And even when Lucy went over and put her arms round him and lent him her hand kerchief, he did not stop."
151,"He merely took the handker chief and kept on using it, wringing it out with both hands whenever it got too wet to be any more use, so that presently Lucy was standing in a damp patch."
152,"Mr Tumnus! bawled Lucy in his ear, shaking him."
153,Do stop.
154,"Stop it at once! You ought to be ashamed of yourself, a great big Faun like you."
155,"What on earth are you crying about?  Oh - oh - oh! sobbed Mr Tumnus, I'm crying because I'm such a bad Faun."
156,"I don't think you're a bad Faun at all, said Lucy."
157,I think you are a very good Faun.
158,You are the nicest Faun I've ever met.
159,"Oh - oh - you wouldn't say that if you knew, replied Mr Tumnus between his sobs."
160,"No, I'm a bad Faun."
161,I don't suppose there ever was a worse Faun since the beginning of the world.
162,But what have you done? asked Lucy.
163,"My old father, now, said Mr Tumnus; that's his picture over the mantelpiece."
164,He would never have done a thing like this.
165,A thing like what? said Lucy.
166,"Like what I've done, said the Faun."
167,Taken service under the White Witch.
168,That's what I am.
169,I'm in the pay of the White Witch.
170,"The White Witch? Who is she?  Why, it is she that has got all Narnia under her thumb."
171,It's she that makes it always winter.
172,Always winter and never Christmas; think of that!  How awful! said Lucy.
173,"But what does she pay you for?  That's the worst of it, said Mr Tumnus with a deep groan."
174,"I'm a kidnapper for her, that's what I am."
175,"Look at me, Daughter of Eve."
176,"Would you believe that I'm the sort of Faun to meet a poor innocent child in the wood, one that had never done me any harm, and pretend to be friendly with it, and invite it home to my cave, all for the sake of lulling it asleep and then handing it over to the White Witch?  No, said Lucy."
177,I'm sure you wouldn't do anything of the sort.
178,"But I have, said the Faun."
179,"Well, said Lucy rather slowly (for she wanted to be truthful and yet not be too hard on him), well, that was pretty bad."
180,But you're so sorry for it that I'm sure you will never do it again.
181,"Daughter of Eve, don't you understand? said the Faun."
182,It isn't something I have done.
183,"I'm doing it now, this very moment."
184,"What do you mean? cried Lucy, turning very white."
185,"You are the child, said Tumnus."
186,"I had orders from the White Witch that if ever I saw a Son of Adam or a Daughter of Eve in the wood, I was to catch them and hand them over to her."
187,And you are the first I've ever met.
188,"And I've pretended to be your friend an asked you to tea, and all the time I've been meaning to wait till you were asleep and then go and tell Her."
189,"Oh, but you won't, Mr Tumnus, said Lucy."
190,"Yo won't, will you? Indeed, indeed you really mustn't."
191,"And if I don't, said he, beginning to cry again she's sure to find out."
192,"And she'll have my tail cut off and my horns sawn off, and my beard plucked out, and she'll wave her wand over my beautiful clove hoofs and turn them into horrid solid hoofs like wretched horse's."
193,"And if she is extra and specially angry she'll turn me into stone and I shall be only statue of a Faun in her horrible house until the four thrones at Cair Paravel are filled and goodness knows when that will happen, or whether it will ever happen at all."
194,"I'm very sorry, Mr Tumnus, said Lucy."
195,But please let me go home.
196,"Of course I will, said the Faun."
197,Of course I've got to.
198,I see that now.
199,I hadn't known what Humans were like before I met you.
200,Of course I can't give you up to the Witch; not now that I know you.
201,But we must be off at once.
202,I'll see you back to the lamp-post.
203,"I suppose you can find your own way from there back to Spare Oom and War Drobe?  I'm sure I can, said Lucy."
204,"We must go as quietly as we can, said Mr Tumnus."
205,The whole wood is full of her spies.
206,Even some of the trees are on her side.
207,"They both got up and left the tea things on the table, and Mr Tumnus once more put up his umbrella and gave Lucy his arm, and they went out into the snow."
208,"The journey back was not at all like the journey to the Faun's cave; they stole along as quickly as they could, without speaking a word, and Mr Tumnus kept to the darkest places."
209,Lucy was relieved when they reached the lamp-post again.
210,"Do you know your way from here, Daughter o Eve? said Tumnus."
211,Lucy looked very hard between the trees and could just see in the distance a patch of light that looked like daylight.
212,"Yes, she said, I can see the wardrobe door."
213,"Then be off home as quick as you can, said the Faun, and - c-can you ever forgive me for what meant to do?  Why, of course I can, said Lucy, shaking him heartily by the hand."
214,And I do hope you won't get into dreadful trouble on my account.
215,"Farewell, Daughter of Eve, said he."
216,"Perhaps I may keep the handkerchief?  Rather! said Lucy, and then ran towards the far off patch of daylight as quickly as her legs would carry her."
217,"And presently instead of rough branch brushing past her she felt coats, and instead of crunching snow under her feet she felt wooden board and all at once she found herself jumping out of the wardrobe into the same empty room from which the whole adventure had started."
218,"She shut the wardrobe door tightly behind her and looked around, panting for breath."
219,It was still raining and she could hear the voices of the others in the passage.
220,"I'm here, she shouted."
221,I'm here.
222,I've come back I'm all right.
223, CHAPTER THREE  EDMUND AND THE WARDROBE  Lucy ran out of the empty room into the passage and found the other three.
224,"It's all right, she repeated, I've comeback."
225,"What on earth are you talking about, Lucy? asked Susan."
226,"Why? said Lucy in amazement, haven't you all been wondering where I was?  So you've been hiding, have you? said Peter."
227,"Poor old Lu, hiding and nobody noticed! You'll have to hide longer than that if you want people to start looking for you."
228,"But I've been away for hours and hours, said Lucy."
229,The others all stared at one another.
230,"Batty! said Edmund, tapping his head."
231,Quite batty.
232,"What do you mean, Lu? asked Peter."
233,"What I said, answered Lucy."
234,"It was just after breakfast when I went into the wardrobe, and I've been away for hours and hours, and had tea, and all sorts of things have happened."
235,"Don't be silly, Lucy, said Susan."
236,"We've only just come out of that room a moment ago, and you were there then."
237,"She's not being silly at all, said Peter, she's just making up a story for fun, aren't you, Lu? And why shouldn't she?  No, Peter, I'm not, she said."
238,It's - it's a magic wardrobe.
239,"There's a wood inside it, and it's snowing, and there's a Faun and a Witch and it's called Narnia; come and see."
240,"The others did not know what to think, but Lucy was so excited that they all went back with her into the room."
241,"She rushed ahead of them, flung open the door of the wardrobe and cried, Now! go in and see for yourselves."
242,"Why, you goose, said Susan, putting her head inside and pulling the fur coats apart, it's just an ordinary wardrobe; look! there's the back of it."
243,Then everyone looked in and pulled the coats apart; and they all saw - Lucy herself saw - a perfectly ordinary wardrobe.
244,"There was no wood and no snow, only the back of the wardrobe, with hooks on it."
245,Peter went in and rapped his knuckles on it to make sure that it was solid.
246,"A jolly good hoax, Lu, he said as he came out again; you have really taken us in, I must admit."
247,We half believed you.
248,"But it wasn't a hoax at all, said Lucy, really and truly."
249,It was all different a moment ago.
250,Honestly it was.
251,I promise.
252,"Come, Lu, said Peter, that's going a bit far."
253,You've had your joke.
254,"Hadn't you better drop it now?  Lucy grew very red in the face and tried to say something, though she hardly knew what she was trying to say, and burst into tears."
255,For the next few days she was very miserable.
256,She could have made it up with the others quite easily at any moment if she could have brought herself to say that the whole thing was only a story made up for fun.
257,But Lucy was a very truthful girl and she knew that she was really in the right; and she could not bring herself to say this.
258,"The others who thought she was telling a lie, and a silly lie too, made her very unhappy."
259,"The two elder ones did this without meaning to do it, but Edmund could be spiteful, and on this occasion he was spiteful."
260,He sneered and jeered at Lucy and kept on asking her if she'd found any other new countries in other cupboards all over the house.
261,What made it worse was that these days ought to have been delightful.
262,"The weather was fine and they were out of doors from morning to night, bathing, fishing, climbing trees, and lying in the heather."
263,But Lucy could not properly enjoy any of it.
264,And so things went on until the next wet day.
265,"That day, when it came to the afternoon and there was still no sign of a break in the weather, they decided to play hide-and-seek."
266,"Susan was It and as soon as the others scattered to hide, Lucy went to the room where the wardrobe was."
267,"She did not mean to hide in the wardrobe, because she knew that would only set the others talking again about the whole wretched business."
268,But she did want to have one more look inside it; for by this time she was beginning to wonder herself whether Narnia and the Faun had not been a dream.
269,The house was so large and complicated and full of hiding-places that she thought she would have time to have one look into the wardrobe and then hide somewhere else.
270,"But as soon as she reached it she heard steps in the passage outside, and then there was nothing for it but to jump into the wardrobe and hold the door closed behind her."
271,"She did not shut it properly because she knew that it is very silly to shut oneself into a wardrobe, even if it is not a magic one."
272,Now the steps she had heard were those of Edmund; and he came into the room just in time to see Lucy vanishing into the wardrobe.
273,He at once decided to get into it himself - not because he thought it a particularly good place to hide but because he wanted to go on teasing her about her imaginary country.
274,He opened the door.
275,"There were the coats hanging up as usual, and a smell of mothballs, and darkness and silence, and no sign of Lucy."
276,"She thinks I'm Susan come to catch her, said Edmund to himself, and so she's keeping very quiet in at the back."
277,"He jumped in and shut the door, forgetting what a very foolish thing this is to do."
278,Then he began feeling about for Lucy in the dark.
279,He had expected to find her in a few seconds and was very surprised when he did not.
280,He decided to open the door again and let in some light.
281,But he could not find the door either.
282,"He didn't like this at all and began groping wildly in every direction; he even shouted out, Lucy! Lu! Where are you? I know you're here."
283,"There was no answer and Edmund noticed that his own voice had a curious sound - not the sound you expect in a cupboard, but a kind of open-air sound."
284,He also noticed that he was unexpectedly cold; and then he saw a light.
285,"Thank goodness, said Edmund, the door must have swung open of its own accord."
286,"He forgot all about Lucy and went towards the light, which he thought was the open door of the wardrobe."
287,But instead of finding himself stepping out into the spare room he found himself stepping out from the shadow of some thick dark fir trees into an open place in the middle of a wood.
288,"There was crisp, dry snow under his feet and more snow lying on the branches of the trees."
289,"Overhead there was pale blue sky, the sort of sky one sees on a fine winter day in the morning."
290,"Straight ahead of him he saw between the tree-trunks the sun, just rising, very red and clear."
291,"Everything was perfectly still, as if he were the only living creature in that country."
292,"There was not even a robin or a squirrel among the trees, and the wood stretched as far as he could see in every direction."
293,He shivered.
294,He now remembered that he had been looking for Lucy; and also how unpleasant he had been to her about her imaginary country which now turned out not to have been imaginary at all.
295,"He thought that she must be somewhere quite close and so he shouted, Lucy! Lucy! I'm here too-Edmund."
296,There was no answer.
297,"She's angry about all the things I've been saying lately, thought Edmund."
298,"And though he did not like to admit that he had been wrong, he also did not much like being alone in this strange, cold, quiet place; so he shouted again."
299,"I say, Lu! I'm sorry I didn't believe you."
300,I see now you were right all along.
301,Do come out.
302,Make it Pax.
303,Still there was no answer.
304,"Just like a girl, said Edmund to himself, sulking somewhere, and won't accept an apology."
305,"He looked round him again and decided he did not much like this place, and had almost made up his mind to go home, when he heard, very far off in the wood, a sound of bells."
306,He listened and the sound came nearer and nearer and at last there swept into sight a sledge drawn by two reindeer.
307,The reindeer were about the size of Shetland ponies and their hair was so white that even the snow hardly looked white compared with them; their branching horns were gilded and shone like something on fire when the sunrise caught them.
308,Their harness was of scarlet leather and covered with bells.
309,"On the sledge, driving the reindeer, sat a fat dwarf who would have been about three feet high if he had been standing."
310,He was dressed in polar bear's fur and on his head he wore a red hood with a long gold tassel hanging down from its point; his huge beard covered his knees and served him instead of a rug.
311,"But behind him, on a much higher seat in the middle of the sledge sat a very different person - a great lady, taller than any woman that Edmund had ever seen."
312,She also was covered in white fur up to her throat and held a long straight golden wand in her right hand and wore a golden crown on her head.
313,"Her face was white - not merely pale, but white like snow or paper or icing-sugar, except for her very red mouth."
314,"It was a beautiful face in other respects, but proud and cold and stern."
315,The sledge was a fine sight as it came sweeping towards Edmund with the bells jingling and the dwarf cracking his whip and the snow flying up on each side of it.
316,"Stop! said the Lady, and the dwarf pulled the reindeer up so sharp that they almost sat down."
317,Then they recovered themselves and stood champing their bits and blowing.
318,In the frosty air the breath coming out of their nostrils looked like smoke.
319,"And what, pray, are you? said the Lady, looking hard at Edmund."
320,"I'm-I'm-my name's Edmund, said Edmund rather awkwardly."
321,He did not like the way she looked at him.
322,"The Lady frowned, Is that how you address a Queen? she asked, looking sterner than ever."
323,"I beg your pardon, your Majesty, I didn't know, said Edmund:  Not know the Queen of Narnia? cried she."
324,Ha! You shall know us better hereafter.
325,"But I repeat-what are you?  Please, your Majesty, said Edmund, I don't know what you mean."
326,I'm at school - at least I was it's the holidays now.
327, CHAPTER FOUR  TURKISH DELIGHT  BUT what are you? said the Queen again.
328,"Are you a great overgrown dwarf that has cut off its beard?  No, your Majesty, said Edmund, I never had a beard, I'm a boy."
329,A boy! said she.
330,"Do you mean you are a Son of Adam?  Edmund stood still, saying nothing."
331,He was too confused by this time to understand what the question meant.
332,"I see you are an idiot, whatever else you may be, said the Queen."
333,"Answer me, once and for all, or I shall lose my patience."
334,"Are you human?  Yes, your Majesty, said Edmund."
335,"And how, pray, did you come to enter my dominions?  Please, your Majesty, I came in through a wardrobe."
336,"A wardrobe? What do you mean?  I - I opened a door and just found myself here, your Majesty, said Edmund."
337,"Ha! said the Queen, speaking more to herself than to him."
338,A door.
339,A door from the world of men! I have heard of such things.
340,This may wreck all.
341,"But he is only one, and he is easily dealt with."
342,"As she spoke these words she rose from her seat and looked Edmund full in the face, her eyes flaming; at the same moment she raised her wand."
343,Edmund felt sure that she was going to do something dreadful but he seemed unable to move.
344,"Then, just as he gave himself up for lost, she appeared to change her mind."
345,"My poor child, she said in quite a different voice, how cold you look! Come and sit with me here on the sledge and I will put my mantle round you and we will talk."
346,"Edmund did not like this arrangement at all but he dared not disobey; he stepped on to the sledge and sat at her feet, and she put a fold of her fur mantle round him and tucked it well in."
347,Perhaps something hot to drink? said the Queen.
348,"Should you like that?  Yes please, your Majesty, said Edmund, whose teeth were chattering."
349,The Queen took from somewhere among her wrappings a very small bottle which looked as if it were made of copper.
350,"Then, holding out her arm, she let one drop fall from it on the snow beside the sledge."
351,"Edmund saw the drop for a second in mid-air, shining like a diamond."
352,But the moment it touched the snow there was a hissing sound and there stood a jewelled cup full of something that steamed.
353,The dwarf immediately took this and handed it to Edmund with a bow and a smile; not a very nice smile.
354,Edmund felt much better as he began to sip the hot drink.
355,"It was something he had never tasted before, very sweet and foamy and creamy, and it warmed him right down to his toes."
356,"It is dull, Son of Adam, to drink without eating, said the Queen presently."
357,"What would you like best to eat?  Turkish Delight, please, your Majesty, said Edmund."
358,"The Queen let another drop fall from her bottle on to the snow, and instantly there appeared a round box, tied with green silk ribbon, which, when opened, turned out to contain several pounds of the best Turkish Delight."
359,Each piece was sweet and light to the very centre and Edmund had never tasted anything more delicious.
360,"He was quite warm now, and very comfortable."
361,While he was eating the Queen kept asking him questions.
362,"At first Edmund tried to remember that it is rude to speak with one's mouth full, but soon he forgot about this and thought only of trying to shovel down as much Turkish Delight as he could, and the more he ate the more he wanted to eat, and he never asked himself why the Queen should be so inquisitive."
363,"She got him to tell her that he had one brother and two sisters, and that one of his sisters had already been in Narnia and had met a Faun there, and that no one except himself and his brother and his sisters knew anything about Narnia."
364,"She seemed especially interested in the fact that there were four of them, and kept on coming back to it."
365,You are sure there are just four of you? she asked.
366,"Two Sons of Adam and two Daughters of Eve, neither more nor less? and Edmund, with his mouth full of Turkish Delight, kept on saying, Yes, I told you that before, and forgetting to call her Your Majesty, but she didn't seem to mind now."
367,At last the Turkish Delight was all finished and Edmund was looking very hard at the empty box and wishing that she would ask him whether he would like some more.
368,"Probably the Queen knew quite well what he was thinking; for she knew, though Edmund did not, that this was enchanted Turkish Delight and that anyone who had once tasted it would want more and more of it, and would even, if they were allowed, go on eating it till they killed themselves."
369,But she did not offer him any more.
370,"Instead, she said to him,  Son of Adam, I should so much like to see your brother and your two sisters."
371,"Will you bring them to see me?  I'll try, said Edmund, still looking at the empty box."
372,"Because, if you did come again - bringing them with you of course - I'd be able to give you some more Turkish Delight."
373,"I can't do it now, the magic will only work once."
374,In my own house it would be another matter.
375,Why can't we go to your house now? said Edmund.
376,When he had first got on to the sledge he had been afraid that she might drive away with him to some unknown place from which he would not be able to get back; but he had forgotten about that fear now.
377,"It is a lovely place, my house, said the Queen."
378,I am sure you would like it.
379,"There are whole rooms full of Turkish Delight, and what's more, I have no children of my own."
380,I want a nice boy whom I could bring up as a Prince and who would be King of Narnia when I am gone.
381,While he was Prince he would wear a gold crown and eat Turkish Delight all day long; and you are much the cleverest and handsomest young man I've ever met.
382,"I think I would like to make you the Prince - some day, when you bring the others to visit me."
383,Why not now? said Edmund.
384,His face had become very red and his mouth and fingers were sticky.
385,"He did not look either clever or handsome, whatever the Queen might say."
386,"Oh, but if I took you there now, said she, I shouldn't see your brother and your sisters."
387,I very much want to know your charming relations.
388,You are to be the Prince and - later on - the King; that is understood.
389,But you must have courtiers and nobles.
390,I will make your brother a Duke and your sisters Duchesses.
391,"There's nothing special about them, said Edmund, and, anyway, I could always bring them some other time."
392,"Ah, but once you were in my house, said the Queen, you might forget all about thern."
393,You would be enjoying yourself so much that you wouldn't want the bother of going to fetch them.
394,No.
395,"You must go back to your own country now and come to me another day, with them, you understand."
396,It is no good coming without them.
397,"But I don't even know the way back to my own country, pleaded Edmund."
398,"That's easy, answered the Queen."
399,Do you see that lamp? She pointed with her wand and Edmund turned and saw the same lamp-post under which Lucy had met the Faun.
400,"Straight on, beyond that, is the way to the World of Men."
401,And now look the other way'- here she pointed in the opposite direction - and tell me if you can see two little hills rising above the trees.
402,"I think I can, said Edmund."
403,"Well, my house is between those two hills."
404,So next time you come you have only to find the lamp-post and look for those two hills and walk through the wood till you reach my house.
405,But remember - you must bring the others with you.
406,I might have to be very angry with you if you came alone.
407,"I'll do my best, said Edmund."
408,"And, by the way, said the Queen, you needn't tell them about me."
409,"It would be fun to keep it a secret between us two, wouldn't it? Make it a surprise for them."
410,Just bring them along to the two hills - a clever boy like you will easily think of some excuse for doing that - and when you come to my house you could just say Let's see who lives here or something like that.
411,I am sure that would be best.
412,"If your sister has met one of the Fauns, she may have heard strange stories about me - nasty stories that might make her afraid to come to me."
413,"Fauns will say anything, you know, and now -  Please, please, said Edmund suddenly, please couldn't I have just one piece of Turkish Delight to eat on the way home?  No, no, said the Queen with a laugh, you must wait till next time."
414,"While she spoke, she signalled to the dwarf to drive on, but as the sledge swept away out of sight, the Queen waved to Edmund, calling out, Next time! Next time! Don't forget."
415,Come soon.
416,"Edmund was still staring after the sledge when he heard someone calling his own name, and looking round he saw Lucy coming towards him from another part of the wood."
